id,codice,descrizione,serie,annata,produttore,mancanti,doppi,rarità
Kinder_2025_060_VQ284,VQ284,Parasaurus,Funko Pop - Jurassic World,2024/2025,KM,20,5,2
Kinder_2025_060_VQ285,VQ285,Gigantosaurus,Funko Pop - Jurassic World,2024/2025,KM,15,14,1
Kinder_2025_060_VQ286,VQ286,Triceratops,Funko Pop - Jurassic World,2024/2025,KM,15,4,2
Kinder_2025_060_VQ287,VQ287,Velociraptor,Funko Pop - Jurassic World,2024/2025,KM,13,6,2
Kinder_2025_060_VQ288,VQ288,Pterodactylus (pen deco),Funko Pop - Jurassic World,2024/2025,KM,19,3,2
Kinder_2025_060_VQ289,VQ289,Velociraptor (pen deco),Funko Pop - Jurassic World,2024/2025,KM,10,7,1
Kinder_2025_060_VQ290,VQ290,Pachycephalosaurus (pen deco),Funko Pop - Jurassic World,2024/2025,KM,8,15,1
Kinder_2025_060_VQ291,VQ291,Brachiosaurus (supporto smartphone),Funko Pop - Jurassic World,2024/2025,KM,16,1,3
Kinder_2025_060_VQ292,VQ292,Indominus,Funko Pop - Jurassic World,2024/2025,KM,13,8,1
Kinder_2025_060_VQ293,VQ293,Allosaurus (supporto smartphone),Funko Pop - Jurassic World,2024/2025,KM,11,12,1
Kinder_2025_060_VQ302,VQ302,Plateosaurus (supporto smartphone),Funko Pop - Jurassic World,2024/2025,KM,10,11,1
Kinder_2025_060_VQ314,VQ314,T-Rex,Funko Pop - Jurassic World,2024/2025,KM,7,15,1
Kinder_2025_060_VQ315,VQ315,Mosasaurus (porta cavo),Funko Pop - Jurassic World,2024/2025,KM,20,1,3
Kinder_2025_060_VQ316,VQ316,Ankylosaurus,Funko Pop - Jurassic World,2024/2025,KM,11,8,2
Kinder_2025_060_VQ317,VQ317,Pterodactylus (cable deco),Funko Pop - Jurassic World,2024/2025,KM,19,1,3
Kinder_2025_060_VQ318,VQ318,Pyroraptor (cable deco),Funko Pop - Jurassic World,2024/2025,KM,11,11,2
Kinder_2025_060_VQ319,VQ319,Scorpios Rex (porta cavo),Funko Pop - Jurassic World,2024/2025,KM,8,18,1
Kinder_2025_060_VQ320,VQ320,Acrocanthosaurus (porta cavo),Funko Pop - Jurassic World,2024/2025,KM,10,9,1
Kinder_2025_060_VQ321,VQ321,Dilophosaurus,Funko Pop - Jurassic World,2024/2025,KM,9,16,1
Kinder_2025_060_VQ322,VQ322,T-Rex skeleton,Funko Pop - Jurassic World,2024/2025,KM,11,10,2
Kinder_2025_060_VQ323,VQ323,Indoraptor,Funko Pop - Jurassic World,2024/2025,KM,8,17,1
Kinder_2025_060_VQ324,VQ324,Stygimoloch,Funko Pop - Jurassic World,2024/2025,KM,12,3,1
Kinder_2025_060_VQ325,VQ325,Stegosaurus,Funko Pop - Jurassic World,2024/2025,KM,20,3,3
Kinder_2025_060_VQ326,VQ326,Chasmosaurus (porta cavo),Funko Pop - Jurassic World,2024/2025,KM,8,14,1
Kinder_2025_067_DV548,DV548,Mario,Super Mario,2024/2025,KM,12,12,1
Kinder_2025_067_DV548A,DV548A,Fire Mario,Super Mario,2024/2025,KM,18,11,1
Kinder_2025_067_DV549,DV549,Luigi,Super Mario,2024/2025,KM,13,15,1
Kinder_2025_067_DV549A,DV549A,Fire Luigi,Super Mario,2024/2025,KM,13,11,1
Kinder_2025_067_DV550,DV550,Yoshi,Super Mario,2024/2025,KM,15,12,1
Kinder_2025_067_DV550A,DV550A,Yoshi giallo,Super Mario,2024/2025,KM,10,11,1
Kinder_2025_067_VQ390,VQ390,Fungo rosso evidenziatore,Super Mario,2024/2025,KM,16,3,2
Kinder_2025_067_VQ390A,VQ390A,Green Mushroom evidenziatore,Super Mario,2024/2025,KM,8,14,1
Kinder_2025_067_VQ392,VQ392,Mario pen deco,Super Mario,2024/2025,KM,9,11,1
Kinder_2025_067_VQ393,VQ393,Fungo rosso organizer,Super Mario,2024/2025,KM,12,4,1
Kinder_2025_067_VQ393A,VQ393A,Fungo verde organizer,Super Mario,2024/2025,KM,11,2,2
Kinder_2025_067_VQ394,VQ394,Boo clip,Super Mario,2024/2025,KM,8,8,1
Kinder_2025_067_VQ397,VQ397,Goomba,Super Mario,2024/2025,KM,17,9,2
Kinder_2025_067_VQ399,VQ399,Fire Mario pop-it,Super Mario,2024/2025,KM,12,3,1
Kinder_2025_067_VQ400,VQ400,Fungo rosso pop-it,Super Mario,2024/2025,KM,17,3,2
Kinder_2025_067_VQ401,VQ401,Superstar,Super Mario,2024/2025,KM,21,5,2
Kinder_2025_067_VQ402,VQ402,CheepCheep rosso,Super Mario,2024/2025,KM,20,2,2
Kinder_2025_067_VQ402A,VQ402A,CheepCheep giallo,Super Mario,2024/2025,KM,15,16,1
Kinder_2025_067_VQ405,VQ405,Browser pop-it,Super Mario,2024/2025,KM,10,11,1
Kinder_2025_067_VQ406,VQ406,Blooper clip,Super Mario,2024/2025,KM,11,8,1
Kinder_2025_067_VQ408,VQ408,Fungo verde pop-it,Super Mario,2024/2025,KM,14,7,2
Kinder_2025_067_VQ412,VQ412,Spiny clip,Super Mario,2024/2025,KM,8,10,1
Kinder_2025_067_VQ413,VQ413,Piranha paperclip,Super Mario,2024/2025,KM,14,5,1
Kinder_2025_067_VQ414,VQ414,Luigi pen deco,Super Mario,2024/2025,KM,8,14,1
Kinder_2025_067_VQ415,VQ415,Peach pen deco,Super Mario,2024/2025,KM,9,13,1
Kinder_2025_067_VQ416,VQ416,Questionblock tag,Super Mario,2024/2025,KM,11,8,1
Kinder_2025_067_VQ417,VQ417,Toad paperclip,Super Mario,2024/2025,KM,18,2,2
Kinder_2025_067_VQ420,VQ420,Yoshi pen deco,Super Mario,2024/2025,KM,9,14,1
Kinder_2025_067_VQ422,VQ422,Fungo rosso portafoto,Super Mario,2024/2025,KM,17,4,2
