"annata","serie","categoria","codice","descrizione","mancanti","doppi","interazioni","ratio","rarità_attuale","rarità_calcolata","stato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ332","Tiana","9","7","16","0.563","0","1","aggiornato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ333","Rapunzel","8","8","16","0.500","0","1","aggiornato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ335","Raya","9","4","13","0.692","0","1","aggiornato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ336","Jasmine","9","6","15","0.600","0","1","aggiornato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ337","Belle","10","5","15","0.667","0","2","aggiornato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ338","Merida","12","6","18","0.667","0","2","aggiornato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ339","Vaiana","9","4","13","0.692","0","1","aggiornato"
"2024/2025","Disney Princesses: I Love","Hand_painted","VQ340","Cenerentola","11","4","15","0.733","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ117","Cucciolo di struzzo","11","8","19","0.579","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ118","Cucciolo di puzzola","10","9","19","0.526","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ119","Cucciolo di lepre","7","9","16","0.438","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ120","Cucciolo di leone","11","11","22","0.500","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ121","Cucciolo di pinguino","10","8","18","0.556","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ123","Cucciolo di coccodrillo","8","13","21","0.381","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ124","Cucciolo di tartaruga marina","11","4","15","0.733","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ125","Cucciolo di cervo","10","6","16","0.625","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ127","Cucciolo di suricato","12","8","20","0.600","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ128","Cucciolo di cigno","11","9","20","0.550","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ129","Cucciolo di scoiattolo","10","9","19","0.526","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ130","Cucciolo di tapiro","12","6","18","0.667","0","2","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ131","Cucciolo di orso polare","10","7","17","0.588","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ172","Cucciolo di elefante","7","10","17","0.412","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ174","Cucciolo di ippopotamo","8","7","15","0.533","0","1","aggiornato"
"2024/2025","Natoons Cubs 24/25","Hand_painted","VQ175","Cucciolo di koala","12","9","21","0.571","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VD348","Rocky","12","7","19","0.632","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VD349","Rubble","15","10","25","0.600","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VD354","Skye","12","8","20","0.600","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VD355","Zuma","11","6","17","0.647","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VD358","Everest","12","7","19","0.632","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VD361","Chase","9","6","15","0.600","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VD362","Marshall","13","4","17","0.765","0","1","aggiornato"
"2024/2025","Paw Patrol 2024","Hand_painted","VQ331","Liberty","11","7","18","0.611","0","1","aggiornato"
"2024/2025","Sea Action Game","Compo","VQ425","Pesce blu","11","1","12","0.917","0","1","aggiornato"
"2024/2025","Sea Action Game","Compo","VQ425A","Pesce arancione","10","2","12","0.833","0","1","aggiornato"
"2024/2025","Feeding Friends","Compo","VT080","Ippopotamo","11","0","11","1.000","0","1","aggiornato"
"2024/2025","Feeding Friends","Compo","VT081","Tartaruga","8","5","13","0.615","0","1","aggiornato"
"2024/2025","Crown Spinner - riedizione","Compo","VU050D","Trottola gialla","10","1","11","0.909","0","1","aggiornato"
"2024/2025","Crown Spinner - riedizione","Compo","VU050E","Trottola azzurra","11","1","12","0.917","0","1","aggiornato"
"2024/2025","Stretchy","Compo","VQ343","Hatto","7","3","10","0.700","0","1","aggiornato"
"2024/2025","Stretchy","Compo","VQ343A","Hollo","6","3","9","0.667","0","1","aggiornato"
"2024/2025","Trottole animali","Compo","VQ180","Trottola delfini","4","6","10","0.400","0","1","aggiornato"
"2024/2025","Trottole animali","Compo","VQ181","Trottola fenicotteri","5","7","12","0.417","0","1","aggiornato"
"2024/2025","Breaker","Compo","VQ051","Drill","6","5","11","0.545","0","1","aggiornato"
"2024/2025","Breaker","Compo","VQ052","Wrecking Ball","4","3","7","","0","","skippato"
"2024/2025","Feeding Friends","Compo","VQ083","Tartaruga","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Feeding Friends","Compo","VQ082","Orso polare","6","1","7","","0","","skippato"
"2024/2025","Feeding Friends","Compo","VQ079","Rinoceronte","7","1","8","0.875","0","1","aggiornato"
"2024/2025","Feeding Friends","Compo","VQ081","Zebra","8","2","10","0.800","0","1","aggiornato"
"2024/2025","Animali stampini","Compo","VQ035","Stampino orso","11","2","13","0.846","0","1","aggiornato"
"2024/2025","Animali stampini","Compo","VQ036","Stampino gorilla","13","0","13","1.000","0","1","aggiornato"
"2024/2025","Dragon stickers","Compo","VQ294","Dragon sticker rosso","10","2","12","0.833","0","1","aggiornato"
"2024/2025","Dragon stickers","Compo","VQ295","Dragon sticker oro","8","2","10","0.800","0","1","aggiornato"
"2024/2025","Wheelie Moto","Compo","VQ069","Moto giallo-rossa","7","1","8","0.875","0","1","aggiornato"
"2024/2025","Wheelie Moto","Compo","VQ070","Moto rosso-blu","7","3","10","0.700","0","1","aggiornato"
"2024/2025","Caravans","Compo","VQ103A","Van rosa","5","4","9","0.556","0","1","aggiornato"
"2024/2025","Caravans","Compo","VQ103","Van verde acqua","6","0","6","","0","","skippato"
"2024/2025","Magic Animal Trick","Compo","VQ182","Scimmia","5","5","10","0.500","0","1","aggiornato"
"2024/2025","Magic Animal Trick","Compo","VQ183","Coniglio","5","9","14","0.357","0","1","aggiornato"
"2024/2025","Sick pets","Compo","VQ189","Pinguino","7","2","9","0.778","0","1","aggiornato"
"2024/2025","Sick pets","Compo","VQ190","Elefante","7","3","10","0.700","0","1","aggiornato"
"2024/2025","Water revealing animals","Compo","VT021","Polipo","7","2","9","0.778","0","1","aggiornato"
"2024/2025","Water revealing animals","Compo","VT022","Lumaca","10","1","11","0.909","0","1","aggiornato"
"2024/2025","Feeding Friends","Compo","VQ084 ","Coniglio","6","8","14","0.429","0","1","aggiornato"
"2024/2025","Feeding Friends","Compo","VQ085 ","Gatto","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Carrelli elevatori","Compo","VQ059","Carrello giallo","7","2","9","0.778","0","1","aggiornato"
"2024/2025","Carrelli elevatori","Compo","VQ059A","Carrello verde","8","0","8","1.000","0","1","aggiornato"
"2024/2025","Animali saltatori","Compo","VQ005","Rana","4","5","9","0.444","0","1","aggiornato"
"2024/2025","Animali saltatori","Compo","VQ006","Lepre","7","4","11","0.636","0","1","aggiornato"
"2024/2025","Shooting Boat - riedizione","Compo","VT114C","Moto Boat verde","6","3","9","0.667","0","1","aggiornato"
"2024/2025","Shooting Boat - riedizione","Compo","VT114D","Moto Boat rossa","10","1","11","0.909","0","1","aggiornato"
"2024/2025","Fairy houses","Compo","VT048B","Casa tetto blu","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Fairy houses","Compo","VT048C","Casa tetto rosa","6","1","7","","0","","skippato"
"2024/2025","Reveal camera - riedizione","Compo","VD057B","Green camera","8","1","9","0.889","0","1","aggiornato"
"2024/2025","Reveal camera - riedizione","Compo","VD058B","White camera","5","2","7","","0","","skippato"
"2024/2025","Walking robots","Compo","VD203","Robot rosso","6","3","9","0.667","0","1","aggiornato"
"2024/2025","Walking robots","Compo","VD203A","Robot giallo","7","2","9","0.778","0","1","aggiornato"
"2024/2025","Coccinelle","Compo","VQ266","Coccinella rossa","3","7","10","0.300","0","1","aggiornato"
"2024/2025","Coccinelle","Compo","VQ266A","Coccinella gialla","6","1","7","","0","","skippato"
"2024/2025","Auto con elastico","Compo","VQ056","Auto blu","6","3","9","0.667","0","1","aggiornato"
"2024/2025","Auto con elastico","Compo","VQ055","Auto gialla","5","2","7","","0","","skippato"
"2024/2025","Animali dal veterinario","Compo","VQ007","Koala","5","4","9","0.556","0","1","aggiornato"
"2024/2025","Animali dal veterinario","Compo","VQ008","Scimmia","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Eating Time Animals","Compo","VQ113","Orso","7","3","10","0.700","0","1","aggiornato"
"2024/2025","Eating Time Animals","Compo","VQ114","Pinguino","7","4","11","0.636","0","1","aggiornato"
"2024/2025","Finger Dragons","Compo","VQ094","Drago ali rosse","9","1","10","0.900","0","1","aggiornato"
"2024/2025","Finger Dragons","Compo","VQ095","Drago ali oro","10","1","11","0.909","0","1","aggiornato"
"2024/2025","Vet Check","Compo","VQ020","Infermiera con koala","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Vet Check","Compo","VQ021","Infermiera con pinguino","4","3","7","","0","","skippato"
"2024/2025","Dragons in crystal","Compo","VQ076","Fire Dragon","8","3","11","0.727","0","1","aggiornato"
"2024/2025","Dragons in crystal","Compo","VQ076A","Red Dragon","8","3","11","0.727","0","1","aggiornato"
"2024/2025","Shooting Dragons","Compo","VQ091","Drago oro","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Shooting Dragons","Compo","VQ090","Drago rosso","5","2","7","","0","","skippato"
"2024/2025","Minidragon","Compo","VQ088","Mini Enrico","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Minidragon","Compo","VQ089","Mini Giordano","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Throwing Monkeys","Compo","VQ353A","Godric","6","2","8","0.750","0","1","aggiornato"
"2024/2025","Throwing Monkeys","Compo","VQ353","Gilly","7","0","7","","0","","skippato"
