serie_nome,serie_codice,anno,serie_img_path,codice,nome,rarita,category
Kinderini al lavoro,5,2017,,SD294,Kinderino pompiere,1,hand_painted
Kinderini al lavoro,5,2017,,SD295,Kinderino vigile,1,hand_painted
Kinderini al lavoro,5,2017,,SD296,Kinderino pittore,1,hand_painted
Kinderini al lavoro,5,2017,,SD297,Kinderino pescatore,1,hand_painted
Kinderini al lavoro,5,2017,,SD298,Kinderino fiorista,1,hand_painted
Kinderini al lavoro,5,2017,,SD299,Kinderino medico,1,hand_painted
Kinderini al lavoro,5,2017,,SD300,Kinderino chef,1,hand_painted
Kinderini al lavoro,5,2017,,SD301,Kinderino astronauta,1,hand_painted
Kinderini - sport,3,2016,,FT148,Kinderino calciatore,1,hand_painted
Kinderini - sport,3,2016,,FT150,Kinderino karateca,1,hand_painted
Kinderini - sport,3,2016,,FT151,Kinderino tennista,1,hand_painted
Kinderini - sport,3,2016,,FT152,Kinderino cestista,1,hand_painted
Era Glaciale 5,2,2016,,FS615,Brooke,2,hand_painted
Era Glaciale 5,2,2016,,FS615J,Brooke (variante),2,hand_painted
Era Glaciale 5,2,2016,,FS616,Diego,1,hand_painted
Era Glaciale 5,2,2016,,FS617,Manny,1,hand_painted
Era Glaciale 5,2,2016,,FS618,Scrat,1,hand_painted
Era Glaciale 5,2,2016,,FS619,Scrat Spaziale,1,hand_painted
Era Glaciale 5,2,2016,,FS620,Buck,1,hand_painted
Era Glaciale 5,2,2016,,FS621,Sid,1,hand_painted
Era Glaciale 5,2,2016,,FS621J,Sid (variante),2,hand_painted
Era Glaciale 5,2,2016,,FS622,Crash & Eddie,1,hand_painted
Crazy Friends - maschera,4,2016,,FS552,Crazy Friend maschera 1,1,compo
Crazy Friends - maschera,4,2016,,FS552A,Crazy Friend maschera 2,1,compo
Crazy Friends - maschera,4,2016,,FS552B,Crazy Friend maschera 3,1,compo
Crazy Friends - maschera,4,2016,,FS552C,Crazy Friend maschera 4,1,compo
Crazy Friends - maschera,4,2016,,FS552D,Crazy Friend maschera 5,1,compo
Crazy Friends - metallizzati,5,2016,,FS553,Crazy Friend metallizato 1,1,compo
Crazy Friends - metallizzati,5,2016,,FS553A,Crazy Friend metallizato 2,1,compo
Crazy Friends - metallizzati,5,2016,,FS553B,Crazy Friend metallizato 3,1,compo
Crazy Friends - metallizzati,5,2016,,FS553C,Crazy Friend metallizato 4,1,compo
Crazy Friends - metallizzati,5,2016,,FS553D,Crazy Friend metallizato 5,1,compo
Crazy Friends - saltatori,6,2016,,FS555,Crazy Friend saltatore 1,1,compo
Crazy Friends - saltatori,6,2016,,FS555A,Crazy Friend saltatore 2,1,compo
Crazy Friends - saltatori,6,2016,,FS555B,Crazy Friend saltatore 3,1,compo
Crazy Friends - saltatori,6,2016,,FS555C,Crazy Friend saltatore 4,1,compo
Crazy Friends - saltatori,6,2016,,FS555D,Crazy Friend saltatore 5,1,compo
Crazy Friends - lancia dischi,7,2016,,FS561,Crazy Friend lancia dischi 1,1,compo
Crazy Friends - lancia dischi,7,2016,,FS561A,Crazy Friend lancia dischi 2,1,compo
Crazy Friends - lancia dischi,7,2016,,FS561B,Crazy Friend lancia dischi 3,1,compo
Crazy Friends - lancia dischi,7,2016,,FS561C,Crazy Friend lancia dischi 4,1,compo
Crazy Friends - lancia dischi,7,2016,,FS561D,Crazy Friend lancia dischi 5,1,compo
Crazy Friends - flip-shooter,8,2016,,FS562,Crazy Friend flip-shooter 1,1,compo
Crazy Friends - flip-shooter,8,2016,,FS562A,Crazy Friend flip-shooter 2,1,compo
Crazy Friends - flip-shooter,8,2016,,FS562B,Crazy Friend flip-shooter 3,1,compo
Crazy Friends - flip-shooter,8,2016,,FS562C,Crazy Friend flip-shooter 4,1,compo
Crazy Friends - flip-shooter,8,2016,,FS562D,Crazy Friend flip-shooter 5,1,compo
Crazy Friends - spara trottole,9,2016,,FS563,Crazy Friend spara trottole 1,1,compo
Crazy Friends - spara trottole,9,2016,,FS563A,Crazy Friend spara trottole 2,1,compo
Crazy Friends - spara trottole,9,2016,,FS563B,Crazy Friend spara trottole 3,1,compo
Crazy Friends - spara trottole,9,2016,,FS563C,Crazy Friend spara trottole 4,1,compo
Crazy Friends - spara trottole,9,2016,,FS563D,Crazy Friend spara trottole 5,1,compo
Crazy Friends - spruzzini,10,2016,,FS564,Crazy Friend spruzzino 1,1,compo
Crazy Friends - spruzzini,10,2016,,FS564A,Crazy Friend spruzzino 2,1,compo
Crazy Friends - spruzzini,10,2016,,FS564B,Crazy Friend spruzzino 3,1,compo
Crazy Friends - spruzzini,10,2016,,FS564C,Crazy Friend spruzzino 4,1,compo
Crazy Friends - spruzzini,10,2016,,FS564D,Crazy Friend spruzzino 5,1,compo
Crazy Friends - cambia colore,11,2016,,FS565,Crazy Friend cambia colore 1,1,compo
Crazy Friends - cambia colore,11,2016,,FS565A,Crazy Friend cambia colore 2,1,compo
Crazy Friends - cambia colore,11,2016,,FS565B,Crazy Friend cambia colore 3,1,compo
Crazy Friends - cambia colore,11,2016,,FS565C,Crazy Friend cambia colore 4,1,compo
Crazy Friends - cambia colore,11,2016,,FS565D,Crazy Friend cambia colore 5,2,compo
Crazy Friends - kick-shooter,12,2016,,FS603,Crazy Friend kick-shooter 1,1,compo
Crazy Friends - kick-shooter,12,2016,,FS603A,Crazy Friend kick-shooter 2,1,compo
Crazy Friends - kick-shooter,12,2016,,FS603B,Crazy Friend kick-shooter 3,1,compo
Crazy Friends - kick-shooter,12,2016,,FS603C,Crazy Friend kick-shooter 4,1,compo
Crazy Friends - kick-shooter,12,2016,,FS603D,Crazy Friend kick-shooter 5,1,compo
Crazy Friends - ruote spaziali,13,2016,,FS604,Crazy Friend ruota spaziale 1,1,compo
Crazy Friends - ruote spaziali,13,2016,,FS604A,Crazy Friend ruota spaziale 2,1,compo
Crazy Friends - ruote spaziali,13,2016,,FS604B,Crazy Friend ruota spaziale 3,1,compo
Crazy Friends - ruote spaziali,13,2016,,FS604C,Crazy Friend ruota spaziale 4,1,compo
Crazy Friends - ruote spaziali,13,2016,,FS604D,Crazy Friend ruota spaziale 5,1,compo
Super Mario,1,2016,,FS626,Browser,1,hand_painted
Super Mario,1,2016,,FS627,Luigi,1,hand_painted
Super Mario,1,2016,,FS628,Mario,1,hand_painted
Super Mario,1,2016,,FS629,Principessa Peach,1,hand_painted
Super Mario,1,2016,,FS630,Toad,1,hand_painted
Super Mario,1,2016,,FS631,Yoshi,1,hand_painted
Angry Birds,2,2015,,FF601,Red,1,hand_painted
Angry Birds,2,2015,,FF602,Matilda,1,hand_painted
Angry Birds,2,2015,,FF603,Chuck,1,hand_painted
Angry Birds,2,2015,,FF604,Red,1,hand_painted
Angry Birds,2,2015,,FF605,Bomb,1,hand_painted
Angry Birds,2,2015,,FF606,Al,1,hand_painted
Angry Birds,2,2015,,FF607,Blues,1,hand_painted
Angry Birds,2,2015,,FF608,Red,1,hand_painted
Angry Birds,2,2015,,FF140,Trottole,1,hand_painted
Angry Birds,2,2015,,FT072C,Lancia ruota,1,hand_painted
Avengers Assemble,1,2015,,FF304,Iron Man,1,hand_painted
Avengers Assemble,1,2015,,FF305,Thor,1,hand_painted
Avengers Assemble,1,2015,,FF306,Hulk,1,hand_painted
Avengers Assemble,1,2015,,FF307,Capitan America,1,hand_painted
Avengers Assemble,1,2015,,FF308,Falcon,1,hand_painted
Avengers Assemble,1,2015,,FF309,Occhio di Falco,1,hand_painted
Avengers Assemble,1,2015,,FF310,Nick Fury,1,hand_painted
Avengers Assemble,1,2015,,FF315,Loki,1,hand_painted
Rio 2 - accessori,2,2014,,FT380,Stickers,1,compo
Rio 2 - accessori,2,2014,,UN249C,Elica volante,1,compo
Rio 2 - accessori,2,2014,,DC304G,Kicker,1,compo
Rio 2 - accessori,2,2014,,TR307D,Cricket,1,compo
Rio 2,1,2014,,FT400,Blu,1,hand_painted
Rio 2,1,2014,,FT401,Gioiel,1,hand_painted
Rio 2,1,2014,,FT402,Miguel,1,hand_painted
